"Player","Position","Team","Mean","StdDev","Freq","MAD","Median"
"JimmyGraham","TE","NO",67.3173652694611,6.6930619184579,1,5.9304,67
"BenJarvusGreen-Ellis","RB","NE",68.0958083832335,8.64863008777746,1,8.8956,67
"OwenDaniels","TE","HOU",68.5209580838323,5.40315277224691,1,2.9652,66
"KennyBritt","WR","TEN",70.1437125748503,11.1854953126458,1,14.826,75
"DanielThomas","RB","MIA",70.4610778443114,6.15475280055407,1,4.4478,69
"AustinCollie","WR","IND",70.5808383233533,6.69238015177025,1,8.8956,68
"JulioJones","WR","ATL",73.5389221556886,11.6657182391796,1,8.8956,73
"TimHightower","RB","WAS",73.8023952095808,9.81156838897314,1,8.8956,75
"MarshawnLynch","RB","SEA",74.2694610778443,6.77002551760199,1,7.413,76
"BenRoethlisberger","QB","PIT",75.3832335329341,15.3958708205594,1,16.3086,73
"JosephAddai","RB","IND",77.0778443113772,6.7864518081036,1,10.3782,79
"FredJackson","RB","BUF",77.6107784431138,9.51074148491138,1,8.8956,75
"PittsburghDefenseD","EF","PIT",77.6107784431138,8.12614321759187,1,4.4478,81
"PlaxicoBurress","WR","NYJ",78.1377245508982,10.2093581586687,1,10.3782,77
