"Player","Position","Team","Order"
"GregJennings","WR","GB",12
"HakeemNicks","WR","NYG",13
"VincentJackson","WR","SD",14
"RashardMendenhall","RB","PIT",15
"MauriceJones-Drew","RB","JAC",16
"MichaelTurner","RB","ATL",17
"LarryFitzgerald","WR","ARI",18
"AaronRodgers","QB","GB",19
"CalvinJohnson","WR","DET",20
"MikeWallace","WR","PIT",21
"FrankGore","RB","SF",22
"TomBrady","QB","NE",23
"PeytonHillis","RB","CLE",24
"DeSeanJackson","WR","PHI",25
"PhilipRivers","QB","SD",26
"MilesAustin","WR","DAL",27
"MattForte","RB","CHI",28
"LeGarretteBlount","RB","TB",29
"FelixJones","RB","DAL",30
"AntonioGates","TE","SD",31
"TonyRomo","QB","DAL",32
"JahvidBest","RB","DET",33
"DrewBrees","QB","NO",34
"DezBryant","WR","DAL",35
"DwayneBowe","WR","KC",36
"ReggieWayne","WR","IND",37
"MikeWilliams","WR","TB",38
"AhmadBradshaw","RB","NYG",39
"ShonnGreene","RB","NYJ",40
"PeytonManning","QB","IND",41
"WesWelker","WR","NE",42
"VernonDavis","TE","SF",43
"JasonWitten","TE","DAL",44
"RyanMathews","RB","SD",45
"DallasClark","TE","IND",46
"DeAngeloWilliams","RB","CAR",47
"BrandonMarshall","WR","MIA",48
"ChadOchocinco","WR","NE",49
"MattRyan","QB","ATL",50
"RyanGrant","RB","GB",51
"CedricBenson","RB","CIN",52
"PercyHarvin","WR","MIN",53
"MarquesColston","WR","NO",54
"MarkIngram","RB","NO",55
"SteveJohnson","WR","BUF",56
"KnowshonMoreno","RB","DEN",57
"BrandonLloyd","WR","DEN",58
"JermichaelFinley","TE","GB",59
"SantonioHolmes","WR","NYJ",60
"AnquanBoldin","WR","BAL",61
"PlaxicoBurress","WR","NYJ",62
"KennyBritt","WR","TEN",63
"BenJarvusGreen-Ellis","RB","NE",64
"OwenDaniels","TE","HOU",65
"JosephAddai","RB","IND",66
"JimmyGraham","TE","NO",67
"PittsburghDefenseD","EF","PIT",68
"BeanieWells","RB","ARI",69
"TimHightower","RB","WAS",70
"FredJackson","RB","BUF",71
"DanielThomas","RB","MIA",72
"JonathanStewart","RB","CAR",73
"JulioJones","WR","ATL",74
"SidneyRice","WR","SEA",75
"AustinCollie","WR","IND",76
"MattSchaub","QB","HOU",77
"MarcedesLewis","TE","JAC",78
"MarioManningham","WR","NYG",79
"JeremyMaclin","WR","PHI",80
"MarshawnLynch","RB","SEA",81
"RobGronkowski","TE","NE",82
"ReggieBush","RB","MIA",83
"BenRoethlisberger","QB","PIT",84
"PhiladelphiaDefenseD","EF","PHI",85
"MikeTolbert","RB","SD",86
"MatthewStafford","QB","DET",87
"JamesStarks","RB","GB",88
"MalcomFloyd","WR","SD",89
"MikeSims-Walker","WR","STL",90
"EliManning","QB","NYG",91
"JoshFreeman","QB","TB",92
"A.J.Green","WR","CIN",93
"GreenBayDefenseD","EF","GB",94
"C.J.Spiller","RB","BUF",95
"PierreGarcon","WR","IND",96
"SantanaMoss","WR","WAS",97
"PierreThomas","RB","NO",98
"MichaelBush","RB","OAK",99
"LaDainianTomlinson","RB","NYJ",100
"NYJetsDefenseD","EF","NYJ",101
"SteveSmith","WR","CAR",102
"BaltimoreDefenseD","EF","BAL",103
"RoyWilliams","WR","CHI",104
"KevinKolb","QB","ARI",105
"JoeFlacco","QB","BAL",106
"BrandonJacobs","RB","NYG",107
"WillisMcGahee","RB","DEN",108
"SamBradford","QB","STL",109
"TonyGonzalez","TE","ATL",110
"MikeThomas","WR","JAC",111
"SanFranciscoDefenseD","EF","SF",112
"BraylonEdwards","WR","SF",113
"RyanTorain","RB","WAS",114
"MichaelCrabtree","WR","SF",115
"LanceMoore","WR","NO",116
"DetroitDefenseD","EF","DET",117
"SanDiegoDefenseD","EF","SD",118
"ChicagoDefenseD","EF","CHI",119
"NewEnglandDefenseD","EF","NE",120
"JohnnyKnox","WR","CHI",121
"BenTate","RB","HOU",122
"MattCassel","QB","KC",123
"DannyAmendola","WR","STL",124
"HinesWard","WR","PIT",125
"JacobyFord","WR","OAK",126
"SteveSmith","WR","PHI",127
"KyleOrton","QB","DEN",128
"LeeEvans","WR","BAL",129
"JayCutler","QB","CHI",130
"DonaldDriver","WR","GB",131
"VisantheShiancoe","TE","MIN",132
"JordyNelson","WR","GB",133
"DeionBranch","WR","NE",134
