MP.Name,Date,Event,Type,Numbers,Venue.s.
"Haselhurst, Sir Alan",3/2/05,All Party Cricket Club,Dinn,40,Club Rm
"Baker, Norman",1/11/05,All Party Enviroment Group,Rec,100,Mmbrs Dng Rm
"Purchase, Ken",12/7/05,All Party Export Group,Lnch,12,Dng Rm C
"Greenway, John",2/26/07,All Party Financial Services,Dinn,24,Astor Suite
"Clapham, Michael",10/22/07,All Party Fire & Safety Group,Rec,100,Mmbrs Dng Rm
"Opik, Lembit",4/22/08,All Party Friends of Bahais Group,Rec,100,Tce Pvln
"Donohoe, Brian",11/7/05,All Party Gardening & Horticulture Group,Rec,100,Tce Pvln
"Burt, Alistair",10/24/05,All Party Group,Rec,100,Mmbrs Dng Rm
"Hall, Patrick",10/26/04,All Party Group,Tea,50,Strngrs Dng Rm
"Purchase, Ken",3/20/06,All Party Group,Lnch,70,"Church. Dng Rm, Tce Pvln"
"Simpson, Alan",11/10/04,All Party Group,Lnch,12,Astor Suite
"Stoate, Howard",6/26/07,All Party Group AGM Summer Reception,Rec,90,Strngrs Dng Rm
"Reed, Jamie",1/28/08,All Party Group Digital TV Switchover,Rec,150,Tce Pvln
"Chapman, Ben",7/1/08,All Party Group for Cleaning/Hygiene,Lnch,23,Dng Rm B
"Lepper, David",2/6/08,All Party Group for English Language Teaching,Lnch,23,Astor Suite
"Whitehead, Alan",6/14/05,All Party Group for Intelligent Industy,Rec,30,Astor Suite
"Opik, Lembit",4/19/06,All Party Group for Motorcycling,Rec,25,Dng Rm D
"O'Brien, Stephen",12/11/07,All Party Group for Roofing Industry,Lnch,22,Dng Rm B
"Simpson, Alan",3/15/06,All party Group for Social Science & Policy,Bfast,14,Dng Rm C
"Humble, Joan",7/3/06,All Party Group on Childcare,Tea,50,Dng Rm A
"Levitt, Tom",6/19/06,All Party Group on Community & Voluntary Sector,Rec,150,Tce Pvln
"McDonnell, John",11/13/07,All Party Group on Conflict,Dinn,21,Club Rm
"Horwood, Martin",5/16/06,All Party Group on Corporate Responsibility,Dinn,37,Dng Rm A
"Horwood, Martin",7/15/08,All Party Group on CSR,Rec,80,Dng Rm A
