"Words","Count","global_stdev_ppb","range","global_freq_ppb"
"throng",1,105998.06,5.63812892142968e-05,236.14355
"throughout",1,658156.5,0.00372905359687048,18374.967
"throwing",1,1193334.3,0.00627438118349704,28672.184
"thy",12,736317.3,0.00171146911782807,10493.432
"tide",1,1311198.7,0.00202991378721889,12661.812
"tidings",19,139562.47,0.000140812691407591,643.8996
"till",4,4780581.7,0.0292716326284386,214974.73
"time",3,17956765,0.175564738995572,3188536.5
"toil",1,165472.07,0.000145309703508432,619.4987
"tomb",1,443053.96,0.000549366240769016,2695.8547
"tongue",1,985672.3,0.00474309235050934,24214.764
"tonight",1,9811901,0.0893120469014378,1041971.94
"tools",1,1546931.8,0.00779137326551414,72321.766
"torch",3,627642.1,0.00140156877142885,7594.4385
"town",3,4477561.5,0.0301786799691782,216398.58
"traveled",1,369306.94,0.000965695873554813,4019.3477
"traverse",1,287457.43,0.000225618844609288,1417.6007
"trees",1,1424227.8,0.00630278730993402,33045.043
"trembled",1,41684.016,1.47464521806752e-05,57.136925
"trials",1,623509.87,0.00167920305600453,9899.611
"triumph",1,466708.82,0.00115264041409687,5764.9814
"triumphant",1,180206.12,0.000293917215890814,1219.0332
"troubled",1,472942.16,0.00109704610200022,5618.576
"true",1,5660962.3,0.0425828633971303,356429.5
"truly",1,1698622.4,0.0124498093632251,68526.06
"trust",1,2418950.2,0.0166752581458268,108346.4
"truth",2,2394856.4,0.0167780898225327,117447.17
"unbroken",1,510071.87,0.000150724855579862,650.2854
"unfurled",1,45995.366,1.87188128697516e-05,74.68133
"unite",1,1017345.1,0.00211368937514748,10632.106
"unto",2,460929.53,0.000766365812185025,4485.316
"urged",1,251735.07,0.000847668043458151,6364.919
"veiled",1,115620.74,0.000142386645642885,574.663
"view",1,4211148.2,0.0197796954994409,140351.47
"village",2,1673928.2,0.00655057267669037,44153.2
"virgin",3,2532475.9,0.00491958133791694,26875.396
"visions",1,455556.32,0.000971448301533805,4305.301
"voice",7,2773903.5,0.0238540072003534,176015.75
"voices",1,1002309.1,0.00386690575531169,18907.215
"wadeca",1,952.3225,1.31162852941202e-07,0.73941904
"wadsworth",1,130791.26,0.000123592882571453,655.5958
"wakes",2,612536.1,0.00182573070029028,7477.342
"wall",1,2537018.2,0.0164581274115579,120820.125
"war",1,3144322.7,0.017386198283869,148797.27
"warm",1,2920536.8,0.0189304722392979,109221.67
"watch",3,9782443,0.0745268829415946,789906.2
"watched",2,3466759.8,0.0270637683248793,166763.33
"watching",4,38069047,0.0999493917500702,1061554.1
"watchman",1,356557.34,0.000129663848907589,590.19086
"weak",1,1606490,0.00675175775555175,37933.61
"weakness",1,619694.53,0.00173672733579446,7945.394
"weary",3,527326.95,0.000899552320571606,3756.316
"westward",5,144871.21,8.1283493722705e-05,390.07715
"wherein",1,113862.196,0.000184208858180709,803.5469
